sergId,eiere,eiendomstype,boligtype,boligensAreal,byggeaar,matrikkelnummer,vei_adressekode,vei_adressenavn,vei_adressenummer_bruksenhetsnummere,vei_adressenummer_husnummer,vei_adressenummer_husbokstav,postnummer,poststed,aarForMottattMarkedsverdi,justertMarkedsverdi,reduksjonsfaktor,boligverdi
62,"['10918898994 (GIFT)', '22929099617 (GIFT)']",boenhetIBoligselskap,leilighet,103,1929,,12550,Gyldenløves gate,['H0102'],19,B,0260,OSLO,2021,2311109,0.2118182062,10910816
63,"['16826696870 (GIFT)', '18906796585 (GIFT)']",boenhetIBoligselskap,leilighet,185,1929,,12550,Gyldenløves gate,['H0201'],19,B,0260,OSLO,2021,3564953,0.2151274276,16571355
64,['15859798494 (UGIFT)'],boenhetIBoligselskap,leilighet,103,1931,,12550,Gyldenløves gate,['H0202'],19,B,0260,OSLO,2021,2311109,0.2118182062,10910816
65,"['13886295531 (GIFT)', '21906198093 (GIFT)']",boenhetIBoligselskap,leilighet,184,1931,,12550,Gyldenløves gate,['H0301'],19,B,0260,OSLO,2021,3622614,0.2194541889,16507382
66,['313771539 (borettslag)'],skalIkkeFastsettes,,,,4601/158/323/0/0,12150,Hordagaten,[],18,,5055,BERGEN,,,,
67,['11894596262 (UGIFT)'],boenhetIBoligselskap,leilighet,68,1914,,12150,Hordagaten,['K0101'],18,,5055,BERGEN,,,,
68,['19861597841 (UGIFT)'],boenhetIBoligselskap,leilighet,46,1916,,12150,Hordagaten,['H0101'],18,,5055,BERGEN,,,,
69,['56814300191 (UOPPGITT)'],boenhetIBoligselskap,leilighet,68,1916,,12150,Hordagaten,['H0102'],18,,5055,BERGEN,,,,
70,['14819999482 (UGIFT)'],boenhetIBoligselskap,leilighet,44,1916,,12150,Hordagaten,['H0201'],18,,5055,BERGEN,,,,
71,"['05841149515 (GIFT)', '20821448841 (GIFT)']",boenhetIBoligselskap,leilighet,68,1916,,12150,Hordagaten,['H0202'],18,,5055,BERGEN,2021,1885182,0.4505852201,4183853
72,"['05841149515 (GIFT)', '20821448841 (GIFT)']",boenhetIBoligselskap,leilighet,37,1916,,12150,Hordagaten,['L0101'],18,,5055,BERGEN,2021,1194617,0.4214041363,2834848
73,"['14854299647 (GIFT)', '30904298170 (GIFT)']",boenhetIBoligselskap,leilighet,60,1918,,12150,Hordagaten,['L0102'],18,,5055,BERGEN,2021,1696860,0.439375462,3861981
74,['310976830 (borettslag)'],skalIkkeFastsettes,,,,0301/158/200/0/0,15289,Oberst Rodes vei,[],38,E,1152,OSLO,,,,
75,['25842098028 (UGIFT)'],boenhetIBoligselskap,smaahus,153,2019,,15289,Oberst Rodes vei,['H0101'],38,E,1152,OSLO,2021,3109339,0.232622903,13366434
76,['29878697063 (UGIFT)'],boenhetIBoligselskap,smaahus,151,2018,,15289,Oberst Rodes vei,['H0101'],38,D,1152,OSLO,2021,3110226,0.2347552065,13248807
77,"['07879398236 (GIFT)', '24919298177 (GIFT)']",boenhetIBoligselskap,smaahus,162,2019,,15289,Oberst Rodes vei,['H0101'],38,C,1152,OSLO,2021,3216396,0.2315679128,13889644
78,"['07879398236 (GIFT)', '24919298177 (GIFT)']",boenhetIBoligselskap,smaahus,160,2019,,15289,Oberst Rodes vei,['H0101'],38,B,1152,OSLO,2021,3217263,0.2335713748,13774217
79,"['02869299890 (GIFT)', '05929599596 (GIFT)']",boenhetIBoligselskap,smaahus,145,2019,,15289,Oberst Rodes vei,['H0101'],38,A,1152,OSLO,2021,3001786,0.2328262607,12892814
80,['310049573 (aksjeselskap)'],naeringseiendom,,,,3107/729/107/0/0,81154,Dikeveien,[],52,,1661,ROLVSØY,,,,
81,['312974436 (aksjeselskap)'],naeringseiendom,,,,3405/53/27/0/0,3020,Industrigata,[],17,,2619,LILLEHAMMER,,,,
82,['312169053 (aksjeselskap)'],naeringseiendom,,,,3405/53/144/0/0,3020,Industrigata,[],22,,2619,LILLEHAMMER,,,,
83,['312915103 (aksjeselskap)'],naeringseiendom,,,,5605/25/221/0/0,,,[],,,,,,,,
84,['21911397452 (UGIFT)'],naeringseiendom,,,,5628/18/346/0/0,4500,Tanahus,[],6,,9841,TANA,,,,
85,['55849000291 (UOPPGITT)'],naeringseiendom,,,,4012/25/638/0/0,5450,Krabberødveien,[],1,A,3960,STATHELLE,,,,
86,"['07873549402 (GIFT)', '11913349344 (GIFT)']",naeringseiendom,,,,5053/83/7/0/0,2015,Vågavegen,[],600,,7670,INDERØY,,,,
87,['27844894754 (GIFT)'],naeringseiendom,,,,3105/1/436/0/0,16600,Pellygata,[],57,,1706,SARPSBORG,,,,
88,"['07873549402 (GIFT)', '11913349344 (GIFT)']",naeringseiendom,,,,4012/15/31/0/0,1001,Isdammen,[],82,,3962,STATHELLE,,,,
89,"['07873549402 (GIFT)', '11913349344 (GIFT)']",skalIkkeFastsettes,,,,4012/15/63/0/0,,,[],,,,,,,,
90,[],skalIkkeFastsettes,,,,4601/154/227/0/0,,,[],,,,,,,,
91,['30870199275 (UGIFT)'],selveidBolig,leilighet,49,1928,4601/154/227/1/0,42300,Øvre Stadionveien,['U0101'],30,,5161,LAKSEVÅG,2021,1489359,0.529226302,2814219
92,['26910599029 (UGIFT)'],selveidBolig,leilighet,49,1928,4601/154/227/2/0,42300,Øvre Stadionveien,['H0101'],30,,5161,LAKSEVÅG,2021,1489359,0.529226302,2814219
93,['05851299701 (UGIFT)'],selveidBolig,leilighet,58,1928,4601/154/227/3/0,42300,Øvre Stadionveien,['H0201'],30,,5161,LAKSEVÅG,,,,
94,[],skalIkkeFastsettes,,,,4601/16/15/0/0,,,[],,,,,,,,
95,['11895798152 (UGIFT)'],selveidBolig,leilighet,97,1928,4601/16/15/1/0,31590,Fredlundveien,['U0101'],77,,5073,BERGEN,,,,
96,['26924799225 (UGIFT)'],selveidBolig,leilighet,99,1953,4601/16/15/2/0,31590,Fredlundveien,['H0101'],77,,5073,BERGEN,2021,2512709,0.472316246,5319971
97,['312805243 (aksjeselskap)'],selveidBolig,leilighet,73,1953,4601/16/15/3/0,31590,Fredlundveien,['H0201'],77,,5073,BERGEN,,,,
98,[],skalIkkeFastsettes,,,,0301/27/2/0/0,,,[],,,,,,,,
99,"['16825296607 (GIFT)', '08845295981 (GIFT)']",selveidBolig,enebolig,200,1750,0301/27/2/1/0,17327,Sørkedalsveien,['H0101'],301,A,0754,OSLO,2021,1768149,0.1022703968,17288959
100,"['27906697551 (GIFT)', '17906995875 (GIFT)']",selveidBolig,leilighet,79,1900,0301/27/2/2/0,17327,Sørkedalsveien,['H0101'],301,B,0754,OSLO,2021,1930175,0.2688354412,7179763
101,[],skalIkkeFastsettes,,,,0301/57/11/0/0,,,[],,,,,,,,
102,['17912849910 (UGIFT)'],selveidBolig,enebolig,73,1984,0301/57/11/1/0,14622,Maridalsveien,['H0101'],257,,0872,OSLO,2021,2146275,0.2301157022,9326940
103,['14830199986 (UGIFT)'],selveidBolig,enebolig,147,2014,0301/57/11/2/0,15229,Nydalsveien,['H0101'],4,,0467,OSLO,2021,5130263,0.3342716562,15347585
104,[],skalIkkeFastsettes,,,,0301/54/99/0/0,,,[],,,,,,,,
105,"['29816097485 (GIFT)', '31835998196 (GIFT)']",selveidBolig,enebolig,205,2019,0301/54/99/1/0,17889,Tåsen terrasse,['H0101'],19,A,0873,OSLO,2021,6478018,0.3201288198,20235661
106,['11844698900 (UGIFT)'],selveidBolig,enebolig,213,2019,0301/54/99/2/0,17889,Tåsen terrasse,['H0101'],19,B,0873,OSLO,2021,6688977,0.3223218318,20752479
107,[],skalIkkeFastsettes,,,,2100/22/243/0/0,1308,Vei 308,[],1,,9170,LONGYEARBYEN,,,,
108,"['30854397814 (GIFT)', '27924596770 (GIFT)']",naeringseiendom,,,,2100/22/243/1/0,,,[],,,,,,,,
109,['30892947739 (GIFT)'],naeringseiendom,,,,2100/22/243/2/0,,,[],,,,,,,,
110,['312990806 (borettslag)'],skalIkkeFastsettes,,,,0301/158/384/0/0,10375,Bakkerudveien,[],13,,1152,OSLO,,,,
111,['14881299551 (UGIFT)'],boenhetIBoligselskap,smaahus,82,1950,,10375,Bakkerudveien,['H0101'],13,,1152,OSLO,,,,
112,"['27921649164 (GIFT)', '21881848047 (GIFT)']",boenhetIBoligselskap,smaahus,98,1950,,10375,Bakkerudveien,['H0201'],13,,1152,OSLO,,,,
113,['10926998515 (UGIFT)'],boenhetIBoligselskap,smaahus,88,1950,,10375,Bakkerudveien,['H0101'],13,B,1152,OSLO,,,,
114,['30878399222 (UGIFT)'],boenhetIBoligselskap,smaahus,90,1950,,10375,Bakkerudveien,['H0201'],13,B,1152,OSLO,,,,
115,['312897849 (borettslag)'],skalIkkeFastsettes,,,,0301/158/383/0/0,10375,Bakkerudveien,[],15,,1152,OSLO,,,,
116,"['22833049414 (GIFT)', '06832649153 (GIFT)']",boenhetIBoligselskap,leilighet,89,1955,,10375,Bakkerudveien,['H0101'],15,,1152,OSLO,2021,2067714,0.3012113213,6864661
117,['28870299984 (UGIFT)'],boenhetIBoligselskap,smaahus,89,1948,,10375,Bakkerudveien,['H0201'],15,,1152,OSLO,2021,1785590,0.2196696004,8128526
118,['313083829 (borettslag)'],skalIkkeFastsettes,,,,4601/160/520/0/0,,,[],,,,,,,,
119,['14816097933 (UGIFT)'],boenhetIBoligselskap,leilighet,97,1947,,,,[],,,,,2021,2297862,0.5499444251,4178354
120,"['01873348077 (GIFT)', '24883249131 (GIFT)']",boenhetIBoligselskap,leilighet,97,1947,,,,[],,,,,2021,2042544,0.4888394889,4178354
121,"['11888398688 (GIFT)', '26848497982 (GIFT)']",boenhetIBoligselskap,smaahus,49,1947,,,,[],,,,,2021,1281646,0.9122672578,1404902
122,['313122298 (borettslag)'],skalIkkeFastsettes,,,,1505/107/14/0/0,52860,Sørøyveien,[],23,,6523,FREI,,,,
123,['03886796934 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],23,,6523,FREI,,,,
124,['19810999767 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],21,,6523,FREI,,,,
125,['21851197947 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],25,,6523,FREI,,,,
126,['09916795154 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],19,,6523,FREI,,,,
127,['19901599427 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],11,,6523,FREI,,,,
128,['11815699248 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],15,,6523,FREI,,,,
129,['08810597691 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],13,,6523,FREI,,,,
130,['10830698979 (UGIFT)'],selveidFritidseiendom,,,,,52860,Sørøyveien,['H0101'],17,,6523,FREI,,,,
131,['17871699119 (UGIFT)'],jordbrukseiendom,,,,3101/29/3/0/0,5030,Nygårdsgata,[],49,,1789,BERG I ØSTFOLD,,,,
132,['17871699119 (UGIFT)'],skalIkkeFastsettes,,,,3101/30/4/0/0,,,[],,,,,,,,
133,['17871699119 (UGIFT)'],skalIkkeFastsettes,,,,3101/40/2/0/0,5005,Nordbyveien,[],110,,1763,HALDEN,,,,
134,['17871699119 (UGIFT)'],skalIkkeFastsettes,,,,3101/29/13/0/0,5030,Nygårdsgata,[],170,,1789,BERG I ØSTFOLD,,,,
135,"['28897398674 (GIFT)', '06917598523 (GIFT)']",selveidBolig,enebolig,194,1955,4601/10/118/0/0,33350,Sædalsvegen,[],98,A,5099,BERGEN,2021,4390471,0.570982808,7689322
136,['312869179 (aksjeselskap)'],selveidFritidseiendom,,,,0301/115/24/0/0,,,[],,,,,,,,
137,"['13824198580 (GIFT)', '10867598672 (GIFT)']",skalIkkeFastsettes,,,,5001/250/13/0/0,,,[],,,,,,,,
138,"['16834198669 (GIFT)', '13824198580 (GIFT)']",skalIkkeFastsettes,,,,1103/1/110/0/0,,,[],,,,,,,,
139,[],skalIkkeFastsettes,,,,4204/117/118/0/0,14795,Kvernhusheia,[],15,E,4634,KRISTIANSAND S,,,,
140,[],skalIkkeFastsettes,,,,1103/1/97/0/0,,,[],,,,,,,,
141,"['28836597925 (GIFT)', '28856297448 (GIFT)']",selveidBolig,smaahus,70,2023,4204/417/346/0/0,20388,Langenesåsen,[],69,,4643,SØGNE,,,,
142,['24825399182 (UGIFT)'],selveidBolig,enebolig,,2024,4214/20/283/0/0,1126,Trevanntoppen,[],16,,4827,FROLANDS VERK,,,,
143,"['12851349349 (GIFT)', '13831149013 (GIFT)']",selveidBolig,enebolig,,,4214/20/314/0/0,1078,Kleivene,[],75,B,4827,FROLANDS VERK,,,,
144,"['04916499219 (GIFT)', '01816497767 (GIFT)']",selveidBolig,enebolig,,,4014/17/23/0/0,1182,Helleveien,[],412,,3790,HELLE,,,,
145,['16810897647 (UGIFT)'],selveidBolig,enebolig,596,1983,0301/41/599/0/0,14703,Melkeveien,[],55,,0779,OSLO,2021,15273941,0.4303100163,35495203
146,"['15837298110 (GIFT)', '01897395874 (GIFT)']",selveidBolig,enebolig,285,1983,0301/2/1011/0/0,11278,Dorthes vei,[],3,,0287,OSLO,2021,10406349,0.3888985941,26758516
147,"['06915896942 (GIFT)', '05926094892 (GIFT)']",selveidBolig,enebolig,168,1939,4203/503/132/0/0,55057,Granheia,[],9,,4847,ARENDAL,2021,3698251,0.880396648,4200665
148,"['09849197751 (GIFT)', '05909197874 (GIFT)']",selveidBolig,enebolig,130,1983,4601/1/22/0/0,31830,Hardangervegen,[],407,,5268,HAUKELAND,,,,
149,"['09849197751 (GIFT)', '05909197874 (GIFT)']",skalIkkeFastsettes,,,,4601/1/24/0/0,,,[],,,,,,,,
150,[],skalIkkeFastsettes,,,,4601/10/520/0/0,,,[],,,,,,,,
151,['21878197248 (GIFT)'],selveidBolig,enebolig,125,1981,4601/10/520/1/0,31650,Østre Nattlandsfjellet,['H0101'],36,A,5098,BERGEN,,,,
152,['64909300264 (UOPPGITT)'],selveidBolig,enebolig,174,1981,4601/10/520/2/0,31650,Østre Nattlandsfjellet,['U0101'],36,B,5098,BERGEN,,,,
153,[],skalIkkeFastsettes,,,,4601/166/1185/0/0,,,[],,,,,,,,
154,"['09917499575 (GIFT)', '21907299411 (GIFT)']",selveidBolig,enebolig,320,1909,4601/166/1185/1/0,12470,Kalfarlien,['H0101'],8,,5022,BERGEN,2021,15460090,0.9448118299,16363142
155,"['30866699239 (GIFT)', '12877097771 (GIFT)']",skalIkkeFastsettes,,,,4601/166/1185/2/0,12470,Kalfarlien,['H0201'],8,,5022,BERGEN,,,,
156,"['28927698473 (GIFT)', '26917996538 (GIFT)']",selveidBolig,enebolig,130,1960,3301/203/41/0/0,4033,Drammensveien,[],172,,3050,MJØNDALEN,,,,
157,['27925199953 (UGIFT)'],selveidBolig,enebolig,167,1930,3909/4044/31/0/0,51300,Larviksveien,[],55,,3290,STAVERN,,,,
158,"['09897599497 (GIFT)', '20897498198 (GIFT)']",selveidBolig,enebolig,235,2005,1508/10/65/0/0,16940,Nedre Hatleholen,[],18,,6012,ÅLESUND,,,,
159,"['15916396322 (GIFT)', '14876796016 (GIFT)']",selveidFritidseiendom,,,,3114/100/11/0/0,1146,Rosveien,[],242,,1593,SVINNDAL,,,,
160,"['07922648276 (GIFT)', '04892948122 (GIFT)']",jordbrukseiendom,,,,5501/34/1/0/0,66021,Fagernesvegen,[],291,,9027,RAMFJORDBOTN,,,,
161,['310170496 (aksjeselskap)'],naeringseiendom,,,,3205/10/52/0/0,2400,Branderudveien,[],2,,2015,LEIRSUND,,,,
200,['314173546 (aksjeselskap)'],flerboligbygning,,,,3101/70/14/0/0,,,[],,,,,,,,
201,['310463043 (aksjeselskap)'],flerboligbygning,,,,4601/158/132/0/0,13350,Michael Krohns gate,[],34,,5057,BERGEN,,,,
202,"['03888797512 (GIFT)', '28819097269 (GIFT)']",flerboligbygning,,,,4601/158/335/0/0,11260,Firdagaten,[],3,,5055,BERGEN,,,,
203,"['02928498827 (GIFT)', '05898499105 (GIFT)']",flerboligbygning,,,,3107/300/794/0/0,26100,Mulvads gate,[],4,,1610,FREDRIKSTAD,,,,
204,"['02928498827 (GIFT)', '05898499105 (GIFT)']",flerboligbygning,,,,4601/167/1556/0/0,12790,Kroken,[],4,,5003,BERGEN,,,,
205,"['25825799438 (GIFT)', '22906098788 (GIFT)']",flerboligbygning,,,,0301/208/495/0/0,15458,Osterhaus' gate,[],1,,0183,OSLO,,,,
206,"['05927196176 (GIFT)', '15877598486 (GIFT)']",flerboligbygning,,,,0301/190/365/0/0,10508,Berglyveien,[],41,,1262,OSLO,,,,
207,"['23838596355 (GIFT)', '15898298865 (GIFT)']",flerboligbygning,,,,0301/208/567/0/0,11237,Deichmans gate,[],9,B,0178,OSLO,,,,
208,['18911398814 (UGIFT)'],flerboligbygning,,,,0301/2/268/0/0,14172,Langviksveien,[],15,A,0286,OSLO,,,,
300,['311703129 (aksjeselskap)'],skalIkkeFastsettes,,,,4601/109/178/0/0,31560,Fleslandsvegen,[],230,,5258,BLOMSTERDALEN,,,,
301,['311703129 (aksjeselskap)'],selveidBolig,enebolig,222,1966,4601/109/178/0/0,,,[],,,,,2021,5102808,0.5736465152,8895387
302,['311703129 (aksjeselskap)'],tomt,,,,4601/109/178/0/0,,,[],,,,,,,,
303,['07820397791 (GIFT)'],skalIkkeFastsettes,,,,4601/111/32/0/0,32140,Lilandsvegen,[],37,,5258,BLOMSTERDALEN,,,,
304,['07820397791 (GIFT)'],selveidBolig,enebolig,140,1951,4601/111/32/0/0,,,[],,,,,2021,3103835,0.444760947,6978660
305,['07820397791 (GIFT)'],selveidBolig,enebolig,141,1991,4601/111/32/0/0,,,[],,,,,2021,4089868,0.5539719381,7382808
306,['02871198899 (UGIFT)'],skalIkkeFastsettes,,,,3101/20/1/0/0,6470,Strandveien,[],20,A,1794,SPONVIKA,,,,
